loss,mse,mae,soft_acc,val_loss,val_mse,val_mae,val_soft_acc
0.0066563780419528484,0.0066563780419528484,0.06229204311966896,0.8576680421829224,0.005262209102511406,0.005262209102511406,0.05677318945527077,0.8565624952316284
0.0047785500064492226,0.0047785500064492226,0.05414757877588272,0.8762446045875549,0.004843316972255707,0.004843316972255707,0.055063195526599884,0.8658333420753479
0.004605670925229788,0.004605670925229788,0.053084827959537506,0.8793947100639343,0.0048878369852900505,0.0048878369852900505,0.05517003685235977,0.866614580154419
0.004540020599961281,0.004540020599961281,0.05270344763994217,0.8805370926856995,0.004833494778722525,0.004833494778722525,0.0554298460483551,0.8618229031562805
0.004489375278353691,0.004489375278353691,0.05240192264318466,0.8816081881523132,0.0047120386734604836,0.0047120386734604836,0.05389878526329994,0.8672395944595337
0.004451228771358728,0.004451228771358728,0.052154455333948135,0.8814902305603027,0.004729519132524729,0.004729519132524729,0.05415644496679306,0.8692708611488342
0.0044138310477137566,0.0044138310477137566,0.05193048343062401,0.8833905458450317,0.004630971699953079,0.004630971699953079,0.054053694009780884,0.8685937523841858
0.004398749675601721,0.004398749675601721,0.05182407796382904,0.8840792179107666,0.004822463262826204,0.004822463262826204,0.05563975125551224,0.8597396016120911
0.00436798669397831,0.00436798669397831,0.05170943960547447,0.8834920525550842,0.004715532064437866,0.004715532064437866,0.05350925773382187,0.8709895610809326
0.004351416602730751,0.004351416602730751,0.0515628419816494,0.8841946125030518,0.004606583155691624,0.004606583155691624,0.053298335522413254,0.8707812428474426
0.004330486990511417,0.004330486990511417,0.05144859850406647,0.8843004107475281,0.004651402123272419,0.004651402123272419,0.054303571581840515,0.87109375
0.004321768414229155,0.004321768414229155,0.051335763186216354,0.885105311870575,0.004650476388633251,0.004650476388633251,0.0540413036942482,0.8675000071525574
0.004310294520109892,0.004310294520109892,0.05127903074026108,0.884833812713623,0.004693935159593821,0.004693935159593821,0.05359978228807449,0.8682812452316284
